thiophosphoric acid halide,Thiophosphine halide,,,,
thiophosphoric acid amide,"Thiophosphine, Amine",,,,
phosphonic acid derivative,Phosphinate,,,,
phosphonic acid,Phosphonate,,,,
phosphonic acid ester,Phosphonate,,,,
phosphine,Phosphine,,,,
phosphinoxide,Phosphine oxide,,,,
boronic acid derivative,Boronic acid,,,,
boronic acid,Boronic acid,,,,
boronic acid ester,Boronic ester,,,,
alkene,Alkene,,,,
alkyne,Alkyne,,,,
aromatic compound,Aromatic,,,,
heterocyclic compound,Heterocyclic,,,,
alpha-aminoacid,Amino acid,,,,
alpha-hydroxyacid,"Carboxylic acid, Alcohol",,,,
